uri,lcsh_topic,lcsh_t1,count
http://bnb.data.bl.uk/id/resource/001418874,Spanish language--To 1500--Texts,Spanish language,101
http://bnb.data.bl.uk/id/resource/001445108,Tropical medicine,Tropical medicine,1
http://bnb.data.bl.uk/id/resource/001446116,Recursion theory,Recursion theory,1
http://bnb.data.bl.uk/id/resource/001454872,"Shakespeare, William, 1564-1616--Characters--Fools","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001455028,Providence (R.I.)--Ethnic relations,Providence (R.I.),40
http://bnb.data.bl.uk/id/resource/001455713,"Goll, Yvan, 1891-1950--Criticism and interpretation","Goll, Yvan, 1891-1950",1
http://bnb.data.bl.uk/id/resource/001455825,"World War, 1939-1945--Great Britain","World War, 1939-1945",171
http://bnb.data.bl.uk/id/resource/001493174,Ballet,Ballet,5
http://bnb.data.bl.uk/id/resource/001498847,"World War, 1939-1945--Medical care","World War, 1939-1945",171
http://bnb.data.bl.uk/id/resource/001501975,Nubia--Description and travel,Nubia,2
http://bnb.data.bl.uk/id/resource/001503745,Woman--Rights of women,Woman,4
http://bnb.data.bl.uk/id/resource/001514651,"Vietnam War, 1961-1975--Pictorial works","Vietnam War, 1961-1975",1
http://bnb.data.bl.uk/id/resource/001518592,Catholic Church--Bishops--Biography,Catholic Church,85
http://bnb.data.bl.uk/id/resource/001534953,"Sermons, Latin--Translations into English","Sermons, Latin",85
http://bnb.data.bl.uk/id/resource/001590643,"Shakespeare, William, 1564-1616--Ethics","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001603152,"Shakespeare, William, 1564-1616--Criticism and interpretation","Shakespeare, William, 1564-1616",3176
http://bnb.data.bl.uk/id/resource/001607602,Fires--England--London.--Early works to 1800,Fires,50
http://bnb.data.bl.uk/id/resource/001625823,"Migration, Internal--Wales","Migration, Internal",100
http://bnb.data.bl.uk/id/resource/001629785,World politics--1945-1955,World politics,22
http://bnb.data.bl.uk/id/resource/001658635,Fiction in English,Fiction in English,111
http://bnb.data.bl.uk/id/resource/001731859,Cemeteries,Cemeteries,8
http://bnb.data.bl.uk/id/resource/001744395,Presidents--Confederate States of America--Archives,Presidents,27
http://bnb.data.bl.uk/id/resource/001766772,Physics,Physics,187
http://bnb.data.bl.uk/id/resource/001774669,Water--Storage--Nile River,Water,44
http://bnb.data.bl.uk/id/resource/001795371,"India. Army. Prince of Wales's Own Gurkha Rifles, 4th--History","India. Army. Prince of Wales's Own Gurkha Rifles, 4th",1
http://bnb.data.bl.uk/id/resource/001806482,Molecular evolution--Congresses,Molecular evolution,46
http://bnb.data.bl.uk/id/resource/001850381,"Children's literature, Hungarian--20th century--Translations into English","Children's literature, Hungarian",1
http://bnb.data.bl.uk/id/resource/001859336,United States--Politics and government--1783-1809,United States,262
http://bnb.data.bl.uk/id/resource/001874675,Passover--Prayers and devotions,Passover,2
http://bnb.data.bl.uk/id/resource/001884198,English literature,English literature,110
http://bnb.data.bl.uk/id/resource/001884200,"World War, 1939-1945--Personal narratives, British","World War, 1939-1945",171
http://bnb.data.bl.uk/id/resource/001884212,English fiction--20th century,English fiction,35
http://bnb.data.bl.uk/id/resource/001904493,Architects--Biography,Architects,3
http://bnb.data.bl.uk/id/resource/001930099,China--Politics and government--1949-,China,61
http://bnb.data.bl.uk/id/resource/001946101,Queensland--Description and travel,Queensland,5
http://bnb.data.bl.uk/id/resource/001979032,"Mythology, Greek, in literature","Mythology, Greek, in literature",3
http://bnb.data.bl.uk/id/resource/001989139,"Shakespeare, William, 1564-1616--Tragedies","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001989166,"Shakespeare, William, 1564-1616--Tragedies","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001989167,"Shakespeare, William, 1564-1616--Tragedies","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/001989168,"Shakespeare, William, 1564-1616--Tragedies","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/002000448,"Erotic literature, Sanskrit--Translations into English","Erotic literature, Sanskrit",1
http://bnb.data.bl.uk/id/resource/002069235,"Opera--Addresses, essays, lectures",Opera,10
http://bnb.data.bl.uk/id/resource/002101004,Numismatics--Great Britain,Numismatics,6
http://bnb.data.bl.uk/id/resource/002152134,Reason,Reason,4
http://bnb.data.bl.uk/id/resource/002157515,"Shakespeare, William, 1564-1616--Criticism and interpretation","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/002157516,"Shakespeare, William, 1564-1616--Criticism and interpretation","Shakespeare, William, 1564-1616",91
http://bnb.data.bl.uk/id/resource/002164880,"Rugs, Oriental","Rugs, Oriental",1
http://bnb.data.bl.uk/id/resource/002204731,Shrubs,Shrubs,26
http://bnb.data.bl.uk/id/resource/002222791,Amber--Catalogs,Amber,1
http://bnb.data.bl.uk/id/resource/002223103,Nautical charts--Catalogs,Nautical charts,7
http://bnb.data.bl.uk/id/resource/002223107,Music--Bibliography--Catalogs,Music,143
http://bnb.data.bl.uk/id/resource/002223137,Universal bibliography,Universal bibliography,1
http://bnb.data.bl.uk/id/resource/002223274,"Auden, W. H. (Wystan Hugh), 1907-1973--Illustrations","Auden, W. H. (Wystan Hugh), 1907-1973",6
http://bnb.data.bl.uk/id/resource/002232723,Clergy--Wales--History--To 1500,Clergy,25
http://bnb.data.bl.uk/id/resource/002235196,Recitations,Recitations,110
http://bnb.data.bl.uk/id/resource/002236255,Refugee camps--Great Britain,Refugee camps,21
http://bnb.data.bl.uk/id/resource/002237401,"Gissing, George, 1857-1903--Exhibitions","Gissing, George, 1857-1903",1
http://bnb.data.bl.uk/id/resource/002244969,Soils--England--London--Perivale,Soils,120
http://bnb.data.bl.uk/id/resource/002245022,"Law reports, digests, etc.--England","Law reports, digests, etc.",7
http://bnb.data.bl.uk/id/resource/002245023,Writs--England,Writs,1
http://bnb.data.bl.uk/id/resource/002248890,Goldsmiths' Library of Economic Literature--Catalogs,Goldsmiths' Library of Economic Literature,113
http://bnb.data.bl.uk/id/resource/002250159,Jews--Germany--Bibliography,Jews,46
http://bnb.data.bl.uk/id/resource/002250161,Wiener Library--Catalogs,Wiener Library,40
http://bnb.data.bl.uk/id/resource/002269213,"Wren, Matthew, 1585-1667--Early works to 1800","Wren, Matthew, 1585-1667",25
http://bnb.data.bl.uk/id/resource/002302524,Slavery--Sierra Leone,Slavery,11
http://bnb.data.bl.uk/id/resource/002324563,Communism and religion,Communism and religion,24
http://bnb.data.bl.uk/id/resource/002349540,Developing countries--Commerce,Developing countries,14
http://bnb.data.bl.uk/id/resource/002365339,Buddhism--Sacred books,Buddhism,9
http://bnb.data.bl.uk/id/resource/002426013,Electronics,Electronics,19
http://bnb.data.bl.uk/id/resource/002445835,Cosmology,Cosmology,7
http://bnb.data.bl.uk/id/resource/002461217,"Hungary--History--Revolution, 1956",Hungary,21
http://bnb.data.bl.uk/id/resource/002479016,"Political fiction, English--History and criticism","Political fiction, English",2
http://bnb.data.bl.uk/id/resource/002496230,Dogs,Dogs,13
http://bnb.data.bl.uk/id/resource/002500178,Manors--England,Manors,417
http://bnb.data.bl.uk/id/resource/002601211,Theaters--England--London--History--16th century,Theaters,91
http://bnb.data.bl.uk/id/resource/002618728,"Auden, W. H. (Wystan Hugh), 1907-1973--Criticism and interpretation","Auden, W. H. (Wystan Hugh), 1907-1973",6
http://bnb.data.bl.uk/id/resource/002631835,English language--Dictionaries,English language,2148
http://bnb.data.bl.uk/id/resource/002719956,Israeli fiction--Translations into English,Israeli fiction,35
http://bnb.data.bl.uk/id/resource/002780034,Adhesives,Adhesives,14
http://bnb.data.bl.uk/id/resource/002802588,Explorers--Great Britain--Biography--Juvenile literature,Explorers,22
http://bnb.data.bl.uk/id/resource/002802614,"Great Britain--History--Roman period, 55 B.C.-449 A.D.--Juvenile literature",Great Britain,3176
http://bnb.data.bl.uk/id/resource/002802616,"Great Britain--History--Alfred, 871-899--Juvenile literature",Great Britain,3176
http://bnb.data.bl.uk/id/resource/002802676,"Great Britain--History--Elizabeth, 1558-1603--Juvenile literature",Great Britain,3176
http://bnb.data.bl.uk/id/resource/002802684,"William I, King of England, 1027 or 1028-1087--Juvenile literature","William I, King of England, 1027 or 1028-1087",3176
http://bnb.data.bl.uk/id/resource/002854600,Children--Books and reading--United States,Children's literature,95
http://bnb.data.bl.uk/id/resource/002901874,Crosses--Scotland--Iona,Crosses,1
http://bnb.data.bl.uk/id/resource/002960693,"Shakespeare, William, 1564-1616--Authorship","Shakespeare, William, 1564-1616",91
